simulation_id,experiment,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
1,EXP1,False,NEAREST,T6,1,1,1.0,32.512,1.2208468311108176,0.03755065302383174,1,14.047999999999998,14.015999999999998,16.479999999999997
1,EXP1,False,NEAREST,T2,2,2,1.0,11.520000000000003,0.20635308535087366,0.017912594214485555,2,9.472,9.36,10.639999999999997
3,EXP2,False,NEAREST,T3,1,1,1.0,85.76,1.7081866899999913,0.019918221665111837,13,37.856,37.824000000000005,45.92
3,EXP2,False,NEAREST,T2,2,2,1.0,12.703999999999994,0.2022505399999992,0.01592022512594453,13,37.584,22.256000000000004,24.96
3,EXP2,False,NEAREST,T1,3,3,1.0,40.86400000000002,0.7045296500000117,0.01724083912490239,27,36.053333333333335,22.165333333333336,22.26133333333334
6,EXP1,False,NEAREST,T1,1,1,1.0,17.088,0.35692922125525206,0.02088771191802739,1,7.168,7.136,7.936000000000002
6,EXP1,False,NEAREST,T5,2,2,1.0,19.008000000000003,0.5294663697556788,0.027854922651287813,2,7.215999999999999,7.183999999999999,8.847999999999999
6,EXP1,False,NEAREST,T1,3,3,1.0,16.22399999999999,0.4257117431921083,0.02623962914152543,4,7.2106666666666674,7.178666666666664,8.24533333333333
8,EXP1,True,NEAREST,T2,1,1,1.0,10.112000000000002,0.1299537972371631,0.012851443555890336,0,4.064000000000001,4.032000000000001,4.064
8,EXP1,True,NEAREST,T2,2,2,1.0,11.168,0.11728448178530379,0.010501833970747117,1,3.8720000000000003,3.8399999999999985,4.783999999999999
9,EXP1,False,NEAREST,T1,1,1,1.0,17.088,0.35692922125525206,0.02088771191802739,1,7.168,7.136,7.936000000000002
13,EXP1,False,NEAREST,T1,1,1,1.0,17.088,0.35692922125525206,0.02088771191802739,1,7.168,7.136,7.936000000000002
13,EXP1,False,NEAREST,T6,2,2,1.0,41.632,1.4042853624288778,0.03373091281775744,6,12.144000000000002,12.112,15.232
14,EXP1,True,NEAREST,T2,1,1,1.0,10.112000000000002,0.1299537972371631,0.012851443555890336,0,4.064000000000001,4.032000000000001,4.064
15,EXP1,True,NEAREST,T6,1,1,1.0,32.512,1.2208468311108176,0.03755065302383174,1,14.047999999999998,14.015999999999998,16.479999999999997
16,EXP1,False,NEAREST,T6,1,1,1.0,31.904,1.2449325875889854,0.03902120698310511,1,14.047999999999998,14.015999999999998,15.872
18,EXP1,True,NEAREST,T2,1,1,1.0,10.112000000000002,0.1299537972371631,0.012851443555890336,0,4.064000000000001,4.032000000000001,4.064
19,EXP1,False,NEAREST,T2,1,1,1.0,10.112000000000002,0.1299537972371631,0.012851443555890336,0,4.064000000000001,4.032000000000001,4.064
37,EXP1,False,NEAREST,T5,1,1,1.0,17.727999999999998,0.46310435865007,0.026122763913022904,0,7.6160000000000005,7.5840000000000005,8.127999999999998
39,EXP1,False,NEAREST,T5,1,1,1.0,17.727999999999998,0.46310435865007,0.026122763913022904,0,7.6160000000000005,7.5840000000000005,8.127999999999998
48,EXP1,map1,False,NEAREST,T6,1,1,1.0,32.512,1.2208468311108176,0.03755065302383174,1,14.047999999999998,14.015999999999998,16.479999999999997
62,EXP2,map1,False,NEAREST,T1,1,1,1.0,10.080000000000002,0.16021692999999965,0.015894536706349167,0,4.064000000000001,4.032000000000001,4.032
62,EXP2,map1,False,NEAREST,T2,2,2,1.0,10.591999999999999,0.17978541000000015,0.01697369807401814,0,4.112000000000002,4.08,4.24
