"simulation_id","experiment","map_id","dynamic_environment","policy","last_table","total_requests","completed_requests","success_rate","mission_time","distance","avg_speed","collisions","avg_wait","avg_delivery","avg_return"
"1","EXP2","map1","False","NEAREST","T4","9","9","1.0","14.719999999999999","0.25310284000000904","0.017194486413044094","4","35.047111111111114","11.260444444444447","10.748444444444441"
"2","EXP2","map1","False","NEAREST","T2","9","9","1.0","22.24000000000001","0.3118082800000083","0.014020156474820512","3","19.160888888888888","8.096","10.887111111111107"
"3","EXP2","map1","False","NEAREST","T4","9","9","1.0","19.26399999999998","0.25078552000001314","0.013018351328904349","12","51.128888888888895","17.756444444444437","10.00177777777778"
"4","EXP2","map1","True","NEAREST","T2","9","9","1.0","22.72","0.3071092700000179","0.013517133362676846","11","28.202666666666673","8.871111111111112","10.588444444444445"
"5","EXP2","map1","True","NEAREST","T2","9","9","1.0","22.848000000000013","0.22638929000001684","0.009908494835434906","10","21.447111111111113","7.064888888888891","10.510222222222223"
"6","EXP2","map1","True","NEAREST","T2","9","9","1.0","21.023999999999972","0.2851591000000167","0.0135635036149171","13","22.60622222222223","10.887111111111109","10.702222222222225"
