simulation_id,experiment,map_id,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
1,EXP2,map1,False,NEAREST,T3,1,1,1.0,111.84,1.4069994600000086,0.012580467274678188,7,31.616,31.584,78.24000000000001
1,EXP2,map1,False,NEAREST,T2,2,2,1.0,22.336,0.3425127700000104,0.015334561694126541,7,69.792,20.816000000000003,44.256
1,EXP2,map1,False,NEAREST,T4,3,3,1.0,19.232,0.2647538100000043,0.01376631707570738,7,77.41866666666667,17.536,31.584000000000003
1,EXP2,map1,False,NEAREST,T4,4,4,1.0,22.560000000000002,0.2575443700000126,0.01141597384751829,8,62.944,16.496000000000002,25.480000000000004
1,EXP2,map1,False,NEAREST,T2,5,5,1.0,28.0,0.3310549100000191,0.011823389642857824,8,61.83040000000001,16.3456,22.432000000000006
1,EXP2,map1,False,NEAREST,T2,6,6,1.0,25.664000000000016,0.28515910000001915,0.011111249220698994,9,55.072,16.005333333333336,20.250666666666675
1,EXP2,map1,False,NEAREST,T4,7,7,1.0,23.135999999999996,0.34386454000001976,0.014862748098202793,10,56.82285714285714,14.879999999999999,19.213714285714296
1,EXP2,map1,False,NEAREST,T2,8,8,1.0,21.216000000000008,0.29796873000001645,0.014044529128960046,10,53.748000000000005,14.291999999999998,17.94000000000001
1,EXP2,map1,False,NEAREST,T2,9,9,1.0,19.45599999999996,0.24563592000001877,0.012625201480264149,10,49.30133333333333,13.603555555555554,16.984888888888896
2,EXP2,map1,False,NEAREST,T2,1,1,1.0,22.656,0.20694955000000018,0.0091344257591808,1,15.552,15.52,5.120000000000001
2,EXP2,map1,False,NEAREST,T6,2,2,1.0,98.368,1.393481760000042,0.014166006831490344,5,33.616,26.767999999999994,31.728
2,EXP2,map1,False,NEAREST,T2,3,3,1.0,24.959999999999994,0.2610203500000182,0.010457546073718682,7,47.73333333333334,19.317333333333334,27.328
2,EXP2,map1,False,NEAREST,T2,4,4,1.0,15.648000000000025,0.24151624000001015,0.01543432004090042,7,41.93600000000001,16.080000000000005,22.312
2,EXP2,map1,False,NEAREST,T2,5,5,1.0,26.079999999999984,0.3134175300000146,0.012017543328221426,7,37.152,15.5392,19.987199999999998
2,EXP2,map1,False,NEAREST,T2,6,6,1.0,16.512,0.23688160000001268,0.014346027131783713,7,33.23733333333333,14.154666666666666,17.866666666666667
2,EXP2,map1,False,NEAREST,T4,7,7,1.0,20.03200000000001,0.28284178000001536,0.014119497803515136,7,54.48228571428571,13.81942857142857,16.20114285714286
2,EXP2,map1,False,NEAREST,T2,8,8,1.0,21.28,0.30620809000001525,0.014389477913534551,7,50.796,13.36,15.316
2,EXP2,map1,False,NEAREST,T2,9,9,1.0,15.807999999999964,0.24788887000000911,0.015681229124494538,7,47.072,12.82488888888889,14.197333333333333
3,EXP2,map1,False,NEAREST,T3,1,1,1.0,111.84,1.4069994600000086,0.012580467274678188,7,31.616,31.584,78.24000000000001
3,EXP2,map1,False,NEAREST,T2,2,2,1.0,22.336,0.3425127700000104,0.015334561694126541,7,39.712,20.816000000000003,44.256
3,EXP2,map1,False,NEAREST,T2,3,3,1.0,18.176000000000016,0.24840383000001118,0.0136665839568668,7,29.845333333333343,16.160000000000007,32.608000000000004
3,EXP2,map1,False,NEAREST,T2,4,4,1.0,20.70399999999998,0.2823268200000108,0.013636341769706873,7,26.17600000000001,14.376000000000005,26.872
3,EXP2,map1,False,NEAREST,T2,5,5,1.0,20.768,0.28084631000001276,0.013523031105547608,7,23.39840000000001,13.324800000000005,23.424
3,EXP2,map1,False,NEAREST,T2,6,6,1.0,22.49600000000001,0.27833588000001447,0.012372683143670625,7,21.680000000000007,12.63466666666667,21.402666666666665
3,EXP2,map1,False,NEAREST,T2,7,7,1.0,16.22399999999999,0.2411300200000123,0.01486255054240708,7,20.04571428571429,11.821714285714288,19.38285714285714
3,EXP2,map1,False,NEAREST,T2,8,8,1.0,26.080000000000013,0.31624981000001656,0.012126143021473022,7,19.720000000000002,12.024000000000001,18.287999999999997
3,EXP2,map1,False,NEAREST,T2,9,9,1.0,20.576000000000022,0.27318628000001494,0.013276938180405066,7,19.082666666666668,11.683555555555554,17.322666666666667
5,EXP2,map1,True,NEAREST,T2,1,1,1.0,22.656,0.20694955000000018,0.0091344257591808,1,15.552,15.52,5.120000000000001
