scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
experiment,FIFO,FIFO,ALL,pending_wait,,,10,957.130,95.713,12.770,195.970
experiment,FIFO,FIFO,ALL,return_time,,,23,389.970,16.955,4.190,41.700
experiment,FIFO,FIFO,ALL,total_time,,,26,2771.620,106.601,7.170,344.800
experiment,FIFO,FIFO,ALL,wait_time,,,26,2718.370,104.553,5.120,342.750
experiment,HYBRID,HYBRID,ALL,pending_wait,1,30,15,1624.430,108.295,12.770,279.650
experiment,HYBRID,HYBRID,ALL,return_time,1,30,27,500.710,18.545,4.190,54.460
experiment,HYBRID,HYBRID,ALL,total_time,1,30,30,3665.560,122.185,7.170,303.710
experiment,HYBRID,HYBRID,ALL,wait_time,1,30,30,3604.140,120.138,5.120,301.660
experiment,NEAREST,NEAREST,ALL,pending_wait,,,15,1878.620,125.241,44.160,188.290
experiment,NEAREST,NEAREST,ALL,return_time,,,27,295.540,10.946,4.190,35.100
experiment,NEAREST,NEAREST,ALL,total_time,,,30,666.680,22.223,6.180,57.820
experiment,NEAREST,NEAREST,ALL,wait_time,,,30,605.220,20.174,4.130,55.780
policy,FIFO,FIFO,ALL,pending_wait,,,10,957.130,95.713,12.770,195.970
policy,FIFO,FIFO,ALL,return_time,,,23,389.970,16.955,4.190,41.700
policy,FIFO,FIFO,ALL,total_time,,,26,2771.620,106.601,7.170,344.800
policy,FIFO,FIFO,ALL,wait_time,,,26,2718.370,104.553,5.120,342.750
policy,HYBRID,HYBRID,ALL,pending_wait,1,30,15,1624.430,108.295,12.770,279.650
policy,HYBRID,HYBRID,ALL,return_time,1,30,27,500.710,18.545,4.190,54.460
policy,HYBRID,HYBRID,ALL,total_time,1,30,30,3665.560,122.185,7.170,303.710
policy,HYBRID,HYBRID,ALL,wait_time,1,30,30,3604.140,120.138,5.120,301.660
policy,NEAREST,NEAREST,ALL,pending_wait,,,15,1878.620,125.241,44.160,188.290
policy,NEAREST,NEAREST,ALL,return_time,,,27,295.540,10.946,4.190,35.100
policy,NEAREST,NEAREST,ALL,total_time,,,30,666.680,22.223,6.180,57.820
policy,NEAREST,NEAREST,ALL,wait_time,,,30,605.220,20.174,4.130,55.780
run,FIFO,FIFO,FIFO-1,pending_wait,,,5,511.460,102.292,31.230,172.320
run,FIFO,FIFO,FIFO-1,return_time,,,9,149.470,16.608,4.190,35.100
run,FIFO,FIFO,FIFO-1,total_time,,,10,1188.770,118.877,12.130,213.220
run,FIFO,FIFO,FIFO-1,wait_time,,,10,1168.290,116.829,10.080,211.170
run,FIFO,FIFO,FIFO-2,pending_wait,,,5,445.670,89.134,12.770,195.970
run,FIFO,FIFO,FIFO-2,return_time,,,9,158.690,17.632,4.290,41.700
run,FIFO,FIFO,FIFO-2,total_time,,,10,1041.730,104.173,9.920,206.460
run,FIFO,FIFO,FIFO-2,wait_time,,,10,1021.250,102.125,7.870,204.420
run,FIFO,FIFO,FIFO-3,return_time,,,5,81.810,16.362,4.260,27.460
run,FIFO,FIFO,FIFO-3,total_time,,,6,541.120,90.187,7.170,344.800
run,FIFO,FIFO,FIFO-3,wait_time,,,6,528.830,88.138,5.120,342.750
run,HYBRID,HYBRID,HYBRID-1,pending_wait,1,30,5,511.460,102.292,31.230,172.320
run,HYBRID,HYBRID,HYBRID-1,return_time,1,30,9,149.470,16.608,4.190,35.100
run,HYBRID,HYBRID,HYBRID-1,total_time,1,30,10,1188.770,118.877,12.130,213.220
run,HYBRID,HYBRID,HYBRID-1,wait_time,1,30,10,1168.290,116.829,10.080,211.170
run,HYBRID,HYBRID,HYBRID-2,pending_wait,1,30,5,445.670,89.134,12.770,195.970
run,HYBRID,HYBRID,HYBRID-2,return_time,1,30,9,158.690,17.632,4.290,41.700
run,HYBRID,HYBRID,HYBRID-2,total_time,1,30,10,1041.730,104.173,9.920,206.460
run,HYBRID,HYBRID,HYBRID-2,wait_time,1,30,10,1021.250,102.125,7.870,204.420
run,HYBRID,HYBRID,HYBRID-3,pending_wait,1,30,5,667.300,133.460,17.150,279.650
run,HYBRID,HYBRID,HYBRID-3,return_time,1,30,9,192.550,21.394,4.260,54.460
run,HYBRID,HYBRID,HYBRID-3,total_time,1,30,10,1435.060,143.506,7.170,303.710
run,HYBRID,HYBRID,HYBRID-3,wait_time,1,30,10,1414.600,141.460,5.120,301.660
run,NEAREST,NEAREST,NEAREST-1,pending_wait,,,5,654.970,130.994,91.870,168.580
run,NEAREST,NEAREST,NEAREST-1,return_time,,,9,101.690,11.299,4.190,35.100
run,NEAREST,NEAREST,NEAREST-1,total_time,,,10,208.380,20.838,7.390,57.820
run,NEAREST,NEAREST,NEAREST-1,wait_time,,,10,187.900,18.790,5.340,55.780
run,NEAREST,NEAREST,NEAREST-2,pending_wait,,,5,746.660,149.332,109.280,188.290
run,NEAREST,NEAREST,NEAREST-2,return_time,,,9,104.120,11.569,4.290,20.960
run,NEAREST,NEAREST,NEAREST-2,total_time,,,10,254.890,25.489,9.920,37.860
run,NEAREST,NEAREST,NEAREST-2,wait_time,,,10,234.400,23.440,7.870,35.810
run,NEAREST,NEAREST,NEAREST-3,pending_wait,,,5,476.990,95.398,44.160,141.220
run,NEAREST,NEAREST,NEAREST-3,return_time,,,9,89.730,9.970,4.260,21.920
run,NEAREST,NEAREST,NEAREST-3,total_time,,,10,203.410,20.341,6.180,46.850
run,NEAREST,NEAREST,NEAREST-3,wait_time,,,10,182.920,18.292,4.130,44.800
