metric,policy,run,table,source_log,line,avg,base_at,completed_at,count,done_at,experiment_label,first_period,hybrid_distance_weight,hybrid_wait_weight,max,max_completed,max_period,max_sim_time,min_period,pending_wait,repeat,requested_at,return,seed,served_at,stop_at,stop_delay,total,wait
wait_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,1159,20.35s,,,5,,NEAREST,5,30,1,44.80s,10,16,420,8,,3,72.42,,1003,95.46,,5,,23.04s
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,1185,,,97.50,5,,NEAREST,5,30,1,,10,16,420,8,,3,72.42,,1003,,,5,25.09s,
return_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,1258,9.36s,103.74,,5,97.47,NEAREST,5,30,1,19.46s,10,16,420,8,,3,,6.27s,1003,,,5,,
wait_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,1400,19.25s,,,6,,NEAREST,5,30,1,44.80s,10,16,420,8,,3,102.66,,1003,116.38,,5,,13.73s
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,1426,,,118.43,6,,NEAREST,5,30,1,,10,16,420,8,,3,102.66,,1003,,,5,15.78s,
return_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,1497,9.00s,125.60,,6,118.40,NEAREST,5,30,1,19.46s,10,16,420,8,,3,,7.20s,1003,,,5,,
wait_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,1616,19.13s,,,7,,NEAREST,5,30,1,44.80s,10,16,420,8,,3,116.03,,1003,134.46,,5,,18.43s
total_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,1644,,,136.51,7,,NEAREST,5,30,1,,10,16,420,8,,3,116.03,,1003,,,5,20.48s,
return_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,1903,10.84s,158.40,,7,136.48,NEAREST,5,30,1,21.92s,10,16,420,8,,3,,21.92s,1003,,,5,,
wait_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,1975,21.11s,,,8,,NEAREST,5,30,1,44.80s,10,16,420,8,,3,129.18,,1003,164.16,,5,,34.98s
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2001,,,166.21,8,,NEAREST,5,30,1,,10,16,420,8,,3,129.18,,1003,,,5,37.02s,
return_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2053,10.16s,171.52,,8,166.18,NEAREST,5,30,1,21.92s,10,16,420,8,,3,,5.34s,1003,,,5,,
wait_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2127,19.86s,,,9,,NEAREST,5,30,1,44.80s,10,16,420,8,,3,167.10,,1003,176.99,,5,,9.89s
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2153,,,179.04,9,,NEAREST,5,30,1,,10,16,420,8,,3,167.10,,1003,,,5,11.94s,
return_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2248,9.97s,187.49,,9,179.01,NEAREST,5,30,1,21.92s,10,16,420,8,,3,,8.48s,1003,,,5,,
wait_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2298,18.29s,,,10,,NEAREST,5,30,1,44.80s,10,16,420,8,,3,186.88,,1003,191.01,,5,,4.13s
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,2324,,,193.06,10,,NEAREST,5,30,1,,10,16,420,8,,3,186.88,,1003,,,5,6.18s,
pending_wait,NEAREST,NEAREST-3,T1,NEAREST-3.log,2326,,,,,,NEAREST,5,30,1,,10,16,420,8,53.31s,3,139.74,,1003,,193.06,5,,
pending_wait,NEAREST,NEAREST-3,T3,NEAREST-3.log,2327,,,,,,NEAREST,5,30,1,,10,16,420,8,141.22s,3,51.84,,1003,,193.06,5,,
pending_wait,NEAREST,NEAREST-3,T4,NEAREST-3.log,2328,,,,,,NEAREST,5,30,1,,10,16,420,8,44.16s,3,148.90,,1003,,193.06,5,,
pending_wait,NEAREST,NEAREST-3,T5,NEAREST-3.log,2329,,,,,,NEAREST,5,30,1,,10,16,420,8,105.63s,3,87.42,,1003,,193.06,5,,
pending_wait,NEAREST,NEAREST-3,T6,NEAREST-3.log,2330,,,,,,NEAREST,5,30,1,,10,16,420,8,132.67s,3,60.38,,1003,,193.06,5,,
