scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
experiment,FIFO,FIFO,ALL,delivery_time,,,30,445.310,14.844,0.030,40.450
experiment,FIFO,FIFO,ALL,pending_wait,,,6,167.170,27.862,4.000,60.190
experiment,FIFO,FIFO,ALL,return_time,,,28,357.390,12.764,0.030,36.190
experiment,FIFO,FIFO,ALL,total_time,,,30,1332.100,44.403,4.420,103.420
experiment,FIFO,FIFO,ALL,wait_time,,,30,1270.650,42.355,2.370,101.380
experiment,HYBRID,HYBRID,ALL,delivery_time,1,30,30,445.310,14.844,0.030,40.450
experiment,HYBRID,HYBRID,ALL,pending_wait,1,30,6,167.170,27.862,4.000,60.190
experiment,HYBRID,HYBRID,ALL,return_time,1,30,28,357.390,12.764,0.030,36.190
experiment,HYBRID,HYBRID,ALL,total_time,1,30,30,1332.100,44.403,4.420,103.420
experiment,HYBRID,HYBRID,ALL,wait_time,1,30,30,1270.650,42.355,2.370,101.380
experiment,NEAREST,NEAREST,ALL,delivery_time,,,30,421.570,14.052,0.030,40.510
experiment,NEAREST,NEAREST,ALL,pending_wait,,,3,53.440,17.813,4.000,27.420
experiment,NEAREST,NEAREST,ALL,return_time,,,27,319.030,11.816,0.030,36.190
experiment,NEAREST,NEAREST,ALL,total_time,,,30,1052.720,35.091,4.420,139.200
experiment,NEAREST,NEAREST,ALL,wait_time,,,30,991.250,33.042,2.370,137.150
policy,FIFO,FIFO,ALL,delivery_time,,,30,445.310,14.844,0.030,40.450
policy,FIFO,FIFO,ALL,pending_wait,,,6,167.170,27.862,4.000,60.190
policy,FIFO,FIFO,ALL,return_time,,,28,357.390,12.764,0.030,36.190
policy,FIFO,FIFO,ALL,total_time,,,30,1332.100,44.403,4.420,103.420
policy,FIFO,FIFO,ALL,wait_time,,,30,1270.650,42.355,2.370,101.380
policy,HYBRID,HYBRID,ALL,delivery_time,1,30,30,445.310,14.844,0.030,40.450
policy,HYBRID,HYBRID,ALL,pending_wait,1,30,6,167.170,27.862,4.000,60.190
