metric,policy,run,table,source_log,line,avg,avg_speed,completed,completed_at,count,delivery,distance,dynamic_environment,experiment_label,experiment_mode,first_period,hybrid_distance_weight,hybrid_wait_weight,map_id,max_completed,max_period,max_sim_time,min_period,pending_wait,rate,repeat,requested_at,return,seed,stop_at,stop_delay,time,total,wait
mission,NEAREST,5,,NEAREST-2.log,261,,0.026,,,,,1.455,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,55.65s,,
wait_time,NEAREST,5,T6,NEAREST-2.log,367,27.82s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,66.18s
delivery_time,NEAREST,5,T6,NEAREST-2.log,368,,,,,,40.35s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T6,NEAREST-2.log,376,,,,160.54,4,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,92.32,,1002,,5,,68.22s,
return_time,NEAREST,5,T6,NEAREST-2.log,449,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,36.19s,1002,,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,450,,,4,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,4,
mission,NEAREST,5,,NEAREST-2.log,451,,0.024,,,,,1.868,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,78.56s,,
wait_time,NEAREST,5,T1,NEAREST-2.log,467,38.00s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,78.72s
delivery_time,NEAREST,5,T1,NEAREST-2.log,468,,,,,,5.18s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T1,NEAREST-2.log,476,,,,203.94,5,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,123.17,,1002,,5,,80.77s,
return_time,NEAREST,5,T1,NEAREST-2.log,488,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,5.28s,1002,,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,489,,,5,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,5,
mission,NEAREST,5,,NEAREST-2.log,490,,0.016,,,,,0.205,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,12.48s,,
wait_time,NEAREST,5,T5,NEAREST-2.log,526,43.21s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,69.25s
delivery_time,NEAREST,5,T5,NEAREST-2.log,527,,,,,,15.33s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T5,NEAREST-2.log,535,,,,226.56,6,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,155.26,,1002,,5,,71.30s,
return_time,NEAREST,5,T5,NEAREST-2.log,564,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,15.20s,1002,,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,565,,,6,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,6,
mission,NEAREST,5,,NEAREST-2.log,566,,0.026,,,,,0.849,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,32.54s,,
wait_time,NEAREST,5,T1,NEAREST-2.log,585,41.93s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,34.24s
delivery_time,NEAREST,5,T1,NEAREST-2.log,586,,,,,,5.15s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T1,NEAREST-2.log,592,,,,248.93,7,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,212.64,,1002,,5,,36.29s,
return_time,NEAREST,5,T1,NEAREST-2.log,606,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,5.22s,1002,,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,607,,,7,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,7,
mission,NEAREST,5,,NEAREST-2.log,608,,0.016,,,,,0.202,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,12.38s,,
wait_time,NEAREST,5,T4,NEAREST-2.log,641,40.17s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,27.84s
delivery_time,NEAREST,5,T4,NEAREST-2.log,642,,,,,,15.58s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T4,NEAREST-2.log,648,,,,271.74,8,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,241.86,,1002,,5,,29.89s,
return_time,NEAREST,5,T4,NEAREST-2.log,683,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,16.16s,1002,,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,684,,,8,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,8,
mission,NEAREST,5,,NEAREST-2.log,685,,0.025,,,,,0.843,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,33.76s,,
wait_time,NEAREST,5,T2,NEAREST-2.log,696,37.20s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,13.47s
delivery_time,NEAREST,5,T2,NEAREST-2.log,697,,,,,,0.03s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T2,NEAREST-2.log,703,,,,289.95,9,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,274.43,,1002,,5,,15.52s,
return_time,NEAREST,5,T2,NEAREST-2.log,712,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,0.03s,1002,,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,713,,,9,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,9,
mission,NEAREST,5,,NEAREST-2.log,714,,0.000,,,,,0.000,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,2.08s,,
wait_time,NEAREST,5,T3,NEAREST-2.log,802,47.20s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,137.15s
delivery_time,NEAREST,5,T3,NEAREST-2.log,803,,,,,,32.58s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,NEAREST,NEAREST-2,T3,NEAREST-2.log,811,,,,324.58,10,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,2,185.38,,1002,,5,,139.20s,
pending_wait,NEAREST,NEAREST-2,T4,NEAREST-2.log,813,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,22.02s,,2,302.56,,1002,324.58,5,,,
wait_time,NEAREST,6,T4,NEAREST-3.log,55,16.16s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,16.16s
delivery_time,NEAREST,6,T4,NEAREST-3.log,56,,,,,,16.13s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,63,,,,23.23,1,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,5.02,,1003,,5,,18.21s,
return_time,NEAREST,6,T4,NEAREST-3.log,96,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.38s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,97,,,1,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,1,
mission,NEAREST,6,,NEAREST-3.log,98,,0.026,,,,,0.909,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,34.53s,,
wait_time,NEAREST,6,T2,NEAREST-3.log,110,10.08s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,4.00s
delivery_time,NEAREST,6,T2,NEAREST-3.log,111,,,,,,0.03s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,119,,,,41.66,2,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,35.62,,1003,,5,,6.05s,
return_time,NEAREST,6,T2,NEAREST-3.log,126,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,0.03s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,127,,,2,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,2,
mission,NEAREST,6,,NEAREST-3.log,128,,0.000,,,,,0.000,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,2.08s,,
wait_time,NEAREST,6,T4,NEAREST-3.log,187,11.81s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,15.26s
delivery_time,NEAREST,6,T4,NEAREST-3.log,188,,,,,,15.23s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,194,,,,85.15,3,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,67.84,,1003,,5,,17.31s,
return_time,NEAREST,6,T4,NEAREST-3.log,229,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.35s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,230,,,3,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,3,
mission,NEAREST,6,,NEAREST-3.log,231,,0.025,,,,,0.845,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,33.60s,,
wait_time,NEAREST,6,T4,NEAREST-3.log,264,13.55s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,18.78s
delivery_time,NEAREST,6,T4,NEAREST-3.log,265,,,,,,15.55s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,271,,,,119.07,4,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,98.24,,1003,,5,,20.83s,
return_time,NEAREST,6,T4,NEAREST-3.log,306,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.13s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,307,,,4,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,4,
mission,NEAREST,6,,NEAREST-3.log,308,,0.025,,,,,0.840,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,33.70s,,
wait_time,NEAREST,6,T3,NEAREST-3.log,395,19.64s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,44.00s
delivery_time,NEAREST,6,T3,NEAREST-3.log,396,,,,,,32.35s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T3,NEAREST-3.log,404,,,,169.57,5,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,123.52,,1003,,5,,46.05s,
return_time,NEAREST,6,T3,NEAREST-3.log,455,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,26.88s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,456,,,5,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,5,
mission,NEAREST,6,,NEAREST-3.log,457,,0.025,,,,,1.505,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,61.25s,,
wait_time,NEAREST,6,T1,NEAREST-3.log,473,20.18s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,22.85s
delivery_time,NEAREST,6,T1,NEAREST-3.log,474,,,,,,5.15s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,482,,,,203.62,6,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,178.72,,1003,,5,,24.90s,
return_time,NEAREST,6,T1,NEAREST-3.log,494,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,5.25s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,495,,,6,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,6,
mission,NEAREST,6,,NEAREST-3.log,496,,0.016,,,,,0.202,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,12.42s,,
wait_time,NEAREST,6,T6,NEAREST-3.log,601,31.60s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,100.16s
delivery_time,NEAREST,6,T6,NEAREST-3.log,602,,,,,,40.51s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T6,NEAREST-3.log,610,,,,251.39,7,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,149.18,,1003,,5,,102.21s,
return_time,NEAREST,6,T6,NEAREST-3.log,684,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,36.13s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,685,,,7,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,7,
mission,NEAREST,6,,NEAREST-3.log,686,,0.024,,,,,1.867,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,78.66s,,
wait_time,NEAREST,6,T2,NEAREST-3.log,697,29.22s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,12.54s
delivery_time,NEAREST,6,T2,NEAREST-3.log,698,,,,,,0.03s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,706,,,,289.57,8,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,274.98,,1003,,5,,14.59s,
return_time,NEAREST,6,T2,NEAREST-3.log,713,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,0.03s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,714,,,8,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,8,
mission,NEAREST,6,,NEAREST-3.log,715,,0.000,,,,,0.000,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,2.08s,,
wait_time,NEAREST,6,T1,NEAREST-3.log,731,31.66s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,51.20s
delivery_time,NEAREST,6,T1,NEAREST-3.log,732,,,,,,5.15s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,740,,,,296.77,9,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,243.52,,1003,,5,,53.25s,
return_time,NEAREST,6,T1,NEAREST-3.log,752,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,5.25s,1003,,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,753,,,9,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,9,
mission,NEAREST,6,,NEAREST-3.log,754,,0.016,,,,,0.202,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,12.42s,,
wait_time,NEAREST,6,T3,NEAREST-3.log,808,40.08s,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,115.87s
delivery_time,NEAREST,6,T3,NEAREST-3.log,809,,,,,,26.59s,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,NEAREST,NEAREST-3,T3,NEAREST-3.log,817,,,,330.62,10,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,,,3,212.70,,1003,,5,,117.92s,
pending_wait,NEAREST,NEAREST-3,T6,NEAREST-3.log,819,,,,,,,,false,NEAREST,EXP1,5,30,1,map2,10,35,420,25,27.42s,,3,303.20,,1003,330.62,5,,,
