simulation_id,experiment,map_id,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
1,EXP1,map2,False,FIFO,T1,1,1,1.0,8.064,0.12188421471735227,0.01511460995998912,0,2.4000000000000004,2.3680000000000003,3.6800000000000015
1,EXP1,map2,False,FIFO,T2,2,2,1.0,4.479999999999997,0.05617170305769867,0.012538326575379176,0,2.432000000000003,2.4000000000000012,1.855999999999999
1,EXP1,map2,False,FIFO,T1,3,3,1.0,7.295999999999992,0.05792536510947141,0.007939331840662209,0,2.442666666666673,2.410666666666668,2.1866666666666656
1,EXP1,map2,False,FIFO,T4,4,4,1.0,33.312,0.8600428349725902,0.02581780844658352,2,5.616000000000007,5.584000000000001,5.688000000000001
1,EXP1,map2,False,FIFO,T4,5,5,1.0,34.048,0.8424540349047324,0.024743128374786545,4,7.692800000000011,7.571200000000003,7.8528
1,EXP1,map2,False,FIFO,T5,6,6,1.0,32.512,0.8480495642837627,0.02608420165734998,6,9.322666666666677,8.837333333333337,9.098666666666668
1,EXP1,map2,False,FIFO,T4,7,7,1.0,33.792,0.8423541748911529,0.02492762117930732,8,10.65600000000001,9.769142857142857,10.144000000000002
1,EXP1,map2,False,FIFO,T2,8,8,1.0,2.079999999999984,6.096846437811696e-06,2.9311761720248765e-06,8,9.860000000000007,8.551999999999998,8.879999999999999
1,EXP1,map2,False,FIFO,T1,9,9,1.0,12.384000000000015,0.20215518558788134,0.01632390064501624,8,9.336888888888893,8.170666666666666,8.476444444444443
2,EXP1,map2,False,FIFO,T5,1,1,1.0,33.28,0.91353724320751,0.02745003735599489,2,16.032,16.0,15.264
2,EXP1,map2,False,FIFO,T2,2,2,1.0,2.0800000000000054,6.196331953351624e-06,2.9790057468036577e-06,2,9.200000000000001,8.016000000000002,7.6480000000000015
2,EXP1,map2,False,FIFO,T3,3,3,1.0,55.648,1.454682827678366,0.026140792619292086,6,15.040000000000001,14.24,14.080000000000004
2,EXP1,map2,False,FIFO,T6,4,4,1.0,78.56,1.8683980390898678,0.02378307076234557,17,27.824000000000005,20.768,19.608000000000004
2,EXP1,map2,False,FIFO,T1,5,5,1.0,12.47999999999999,0.20538668666819432,0.016457266559951483,17,38.00320000000001,17.6512,16.742400000000004
2,EXP1,map2,False,FIFO,T5,6,6,1.0,32.54400000000001,0.8487514597282436,0.026080121058512883,19,43.21066666666667,17.264,16.48533333333334
2,EXP1,map2,False,FIFO,T3,7,7,1.0,61.72800000000001,1.5058571127403686,0.02439504135465864,27,49.73714285714285,19.44685714285714,18.011428571428578
2,EXP1,map2,False,FIFO,T1,8,8,1.0,12.384000000000015,0.20218878394516102,0.016326613690662208,27,55.519999999999996,17.663999999999994,16.40800000000001
2,EXP1,map2,False,FIFO,T4,9,9,1.0,33.79199999999997,0.840337630401618,0.02486794597542669,29,59.27466666666666,17.404444444444437,16.41244444444445
2,EXP1,map2,False,FIFO,T2,10,10,1.0,2.079999999999984,4.829361250178175e-06,2.3218082933549096e-06,29,60.8704,15.66719999999999,14.774400000000004
3,EXP1,map2,False,FIFO,T4,1,1,1.0,34.528000000000006,0.9094380090762323,0.026339145304571134,2,16.16,16.128,16.384000000000004
3,EXP1,map2,False,FIFO,T2,2,2,1.0,2.0799999999999983,4.566789028584634e-06,2.1955716483579987e-06,2,10.08,8.079999999999998,8.208000000000004
3,EXP1,map2,False,FIFO,T4,3,3,1.0,33.60000000000001,0.8447604019249156,0.02514167862871772,4,11.807999999999998,10.463999999999999,10.922666666666672
3,EXP1,map2,False,FIFO,T4,4,4,1.0,33.696,0.8403961101723917,0.024940530335125586,6,13.552,11.735999999999997,12.224000000000004
3,EXP1,map2,False,FIFO,T3,5,5,1.0,61.24799999999999,1.505088935866056,0.0245736829915435,14,19.641600000000004,15.859199999999998,15.155200000000002
