"policy","runs","completed_total","avg_completed","avg_collisions","avg_wait","max_wait","avg_delivery","max_delivery","avg_return","max_return","avg_total_time","max_total_time","fair_wait_objective","effective_wait_count","effective_wait_mean","effective_wait_max"
"FIFO","3","30","10","12.6666666666667","9.30666666666667","34.14","6.85933333333333","22.34","7.22837037037037","34.75","11.355","36.19","17.842","30","9.307","34.140"
"HYBRID","3","30","10","12.6666666666667","9.30666666666667","34.14","6.85933333333333","22.34","7.22837037037037","34.75","11.355","36.19","17.842","30","9.307","34.140"
"NEAREST","3","30","10","12.6666666666667","9.30666666666667","34.14","6.85933333333333","22.34","7.22837037037037","34.75","11.355","36.19","17.842","30","9.307","34.140"
