metric,policy,run,table,source_log,line,avg,avg_speed,completed,completed_at,count,delivery,distance,dynamic_environment,experiment_label,experiment_mode,first_period,hybrid_distance_weight,hybrid_wait_weight,map_id,max_completed,max_period,max_sim_time,min_period,rate,repeat,requested_at,return,seed,stop_delay,time,total,wait
delivery_time,NEAREST,4,T6,NEAREST-1.log,626,,,,,,17.02s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,NEAREST,NEAREST-1,T6,NEAREST-1.log,632,,,,306.78,10,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,1,287.68,,1001,5,,19.10s,
wait_time,NEAREST,5,T5,NEAREST-2.log,37,5.70s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,5.70s
delivery_time,NEAREST,5,T5,NEAREST-2.log,38,,,,,,5.66s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T5,NEAREST-2.log,46,,,,12.77,1,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,5.02,,1002,5,,7.74s,
return_time,NEAREST,5,T5,NEAREST-2.log,59,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,5.89s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,60,,,1,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,1,
mission,NEAREST,5,,NEAREST-2.log,61,,0.024,,,,,0.328,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,13.57s,,
wait_time,NEAREST,5,T2,NEAREST-2.log,94,5.07s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,4.45s
delivery_time,NEAREST,5,T2,NEAREST-2.log,95,,,,,,4.42s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T2,NEAREST-2.log,101,,,,42.50,2,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,36.00,,1002,5,,6.50s,
return_time,NEAREST,5,T2,NEAREST-2.log,115,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,5.28s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,116,,,2,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,2,
mission,NEAREST,5,,NEAREST-2.log,117,,0.015,,,,,0.181,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,11.71s,,
wait_time,NEAREST,5,T3,NEAREST-2.log,168,9.25s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,17.60s
delivery_time,NEAREST,5,T3,NEAREST-2.log,169,,,,,,17.57s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T3,NEAREST-2.log,177,,,,82.11,3,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,62.46,,1002,5,,19.65s,
return_time,NEAREST,5,T3,NEAREST-2.log,212,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,18.37s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,213,,,3,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,3,
mission,NEAREST,5,,NEAREST-2.log,214,,0.028,,,,,1.051,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,37.95s,,
wait_time,NEAREST,5,T6,NEAREST-2.log,248,13.15s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,24.86s
delivery_time,NEAREST,5,T6,NEAREST-2.log,249,,,,,,16.74s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T6,NEAREST-2.log,257,,,,119.23,4,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,92.32,,1002,5,,26.91s,
return_time,NEAREST,5,T6,NEAREST-2.log,291,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,17.50s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,292,,,4,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,4,
mission,NEAREST,5,,NEAREST-2.log,293,,0.030,,,,,1.082,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,36.26s,,
wait_time,NEAREST,5,T1,NEAREST-2.log,309,14.18s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,18.30s
delivery_time,NEAREST,5,T1,NEAREST-2.log,310,,,,,,4.77s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T1,NEAREST-2.log,316,,,,143.52,5,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,123.17,,1002,5,,20.35s,
return_time,NEAREST,5,T1,NEAREST-2.log,330,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,4.74s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,331,,,5,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,5,
mission,NEAREST,5,,NEAREST-2.log,332,,0.022,,,,,0.252,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,11.52s,,
wait_time,NEAREST,5,T4,NEAREST-2.log,354,12.51s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,4.13s
delivery_time,NEAREST,5,T4,NEAREST-2.log,355,,,,,,4.10s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T4,NEAREST-2.log,363,,,,161.44,6,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,155.26,,1002,5,,6.18s,
return_time,NEAREST,5,T4,NEAREST-2.log,383,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,5.73s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,384,,,6,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,6,
mission,NEAREST,5,,NEAREST-2.log,385,,0.021,,,,,0.253,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,11.84s,,
wait_time,NEAREST,5,T2,NEAREST-2.log,418,11.14s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,2.94s
delivery_time,NEAREST,5,T2,NEAREST-2.log,419,,,,,,2.91s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T2,NEAREST-2.log,427,,,,190.37,7,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,185.38,,1002,5,,4.99s,
return_time,NEAREST,5,T2,NEAREST-2.log,442,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,1.12s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,443,,,7,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,7,
mission,NEAREST,5,,NEAREST-2.log,444,,0.016,,,,,0.099,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,6.05s,,
wait_time,NEAREST,5,T1,NEAREST-2.log,487,10.16s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,3.26s
delivery_time,NEAREST,5,T1,NEAREST-2.log,488,,,,,,3.23s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T1,NEAREST-2.log,496,,,,217.95,8,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,212.64,,1002,5,,5.31s,
return_time,NEAREST,5,T1,NEAREST-2.log,507,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,4.83s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,508,,,8,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,8,
mission,NEAREST,5,,NEAREST-2.log,509,,0.018,,,,,0.179,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,10.08s,,
wait_time,NEAREST,5,T5,NEAREST-2.log,546,9.68s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,5.86s
delivery_time,NEAREST,5,T5,NEAREST-2.log,547,,,,,,5.82s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T5,NEAREST-2.log,553,,,,249.76,9,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,241.86,,1002,5,,7.90s,
return_time,NEAREST,5,T5,NEAREST-2.log,568,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,6.27s,1002,5,,,
success_rate,NEAREST,5,,NEAREST-2.log,569,,,9,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,2,,,1002,5,,9,
mission,NEAREST,5,,NEAREST-2.log,570,,0.025,,,,,0.357,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,14.11s,,
wait_time,NEAREST,5,T2,NEAREST-2.log,602,9.16s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,4.45s
delivery_time,NEAREST,5,T2,NEAREST-2.log,603,,,,,,4.42s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,,,1002,5,,,
total_time,NEAREST,NEAREST-2,T2,NEAREST-2.log,611,,,,278.94,10,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,2,272.45,,1002,5,,6.50s,
wait_time,NEAREST,6,T4,NEAREST-3.log,35,2.88s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,2.88s
delivery_time,NEAREST,6,T4,NEAREST-3.log,36,,,,,,2.85s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,42,,,,9.95,1,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,5.02,,1003,5,,4.93s,
return_time,NEAREST,6,T4,NEAREST-3.log,63,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,5.79s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,64,,,1,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,1,
mission,NEAREST,6,,NEAREST-3.log,65,,0.019,,,,,0.206,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,10.66s,,
wait_time,NEAREST,6,T2,NEAREST-3.log,99,2.88s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,2.88s
delivery_time,NEAREST,6,T2,NEAREST-3.log,100,,,,,,2.85s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T2,NEAREST-3.log,108,,,,40.54,2,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,35.62,,1003,5,,4.93s,
return_time,NEAREST,6,T2,NEAREST-3.log,123,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,1.09s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,124,,,2,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,2,
mission,NEAREST,6,,NEAREST-3.log,125,,0.017,,,,,0.099,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,5.95s,,
wait_time,NEAREST,6,T4,NEAREST-3.log,177,4.27s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,7.04s
delivery_time,NEAREST,6,T4,NEAREST-3.log,178,,,,,,7.01s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,186,,,,76.93,3,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,67.84,,1003,5,,9.09s,
return_time,NEAREST,6,T4,NEAREST-3.log,205,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,5.63s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,206,,,3,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,3,
mission,NEAREST,6,,NEAREST-3.log,207,,0.017,,,,,0.256,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,14.66s,,
wait_time,NEAREST,6,T4,NEAREST-3.log,247,4.56s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,5.44s
delivery_time,NEAREST,6,T4,NEAREST-3.log,248,,,,,,5.41s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T4,NEAREST-3.log,256,,,,105.73,4,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,98.24,,1003,5,,7.49s,
return_time,NEAREST,6,T4,NEAREST-3.log,269,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,4.42s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,270,,,4,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,4,
mission,NEAREST,6,,NEAREST-3.log,271,,0.012,,,,,0.142,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,11.84s,,
wait_time,NEAREST,6,T3,NEAREST-3.log,328,7.32s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,18.37s
delivery_time,NEAREST,6,T3,NEAREST-3.log,329,,,,,,18.34s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T3,NEAREST-3.log,337,,,,143.94,5,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,123.52,,1003,5,,20.42s,
return_time,NEAREST,6,T3,NEAREST-3.log,372,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,17.70s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,373,,,5,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,5,
mission,NEAREST,6,,NEAREST-3.log,374,,0.029,,,,,1.104,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,38.05s,,
wait_time,NEAREST,6,T5,NEAREST-3.log,391,9.29s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,19.10s
delivery_time,NEAREST,6,T5,NEAREST-3.log,392,,,,,,6.69s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T5,NEAREST-3.log,400,,,,170.34,6,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,149.18,,1003,5,,21.15s,
return_time,NEAREST,6,T5,NEAREST-3.log,413,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,5.98s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,414,,,6,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,6,
mission,NEAREST,6,,NEAREST-3.log,415,,0.020,,,,,0.298,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,14.69s,,
wait_time,NEAREST,6,T1,NEAREST-3.log,434,8.59s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,4.42s
delivery_time,NEAREST,6,T1,NEAREST-3.log,435,,,,,,4.38s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,443,,,,185.18,7,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,178.72,,1003,5,,6.46s,
return_time,NEAREST,6,T1,NEAREST-3.log,454,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,4.32s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,455,,,7,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,7,
mission,NEAREST,6,,NEAREST-3.log,456,,0.021,,,,,0.229,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,10.72s,,
wait_time,NEAREST,6,T3,NEAREST-3.log,547,10.31s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,22.37s
delivery_time,NEAREST,6,T3,NEAREST-3.log,548,,,,,,22.34s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T3,NEAREST-3.log,554,,,,237.12,8,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,212.70,,1003,5,,24.42s,
return_time,NEAREST,6,T3,NEAREST-3.log,677,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,34.75s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,678,,,8,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,8,
mission,NEAREST,6,,NEAREST-3.log,679,,0.022,,,,,1.280,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,59.10s,,
wait_time,NEAREST,6,T5,NEAREST-3.log,699,12.96s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,34.14s
delivery_time,NEAREST,6,T5,NEAREST-3.log,700,,,,,,5.82s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T5,NEAREST-3.log,708,,,,279.71,9,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,243.52,,1003,5,,36.19s,
return_time,NEAREST,6,T5,NEAREST-3.log,721,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,6.27s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,722,,,9,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,9,
mission,NEAREST,6,,NEAREST-3.log,723,,0.026,,,,,0.361,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,14.11s,,
wait_time,NEAREST,6,T1,NEAREST-3.log,738,13.12s,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,14.59s
delivery_time,NEAREST,6,T1,NEAREST-3.log,739,,,,,,4.35s,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,,,
total_time,NEAREST,NEAREST-3,T1,NEAREST-3.log,747,,,,292.35,10,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,275.71,,1003,5,,16.64s,
return_time,NEAREST,6,T1,NEAREST-3.log,759,,,,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,4.29s,1003,5,,,
success_rate,NEAREST,6,,NEAREST-3.log,760,,,10,,,,,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,1.00,3,,,1003,5,,10,
mission,NEAREST,6,,NEAREST-3.log,761,,0.022,,,,,0.231,false,NEAREST,EXP1,5,30,1,map1,10,35,420,25,,3,,,1003,5,10.66s,,
