"source_log","simulation_id","policy","repeat","seed","experiment_mode","map_id","dynamic_environment","completed_requests","avg_wait","max_wait","avg_delivery","max_delivery","avg_return","max_return","avg_total_time","max_total_time","collisions"
"FIFO-1.log","1","FIFO","1","1001","EXP1","map1","false","10","5.642","17.06","5.61","17.02","4.91333333333333","9.73","7.69","19.1","6"
"FIFO-2.log","2","FIFO","2","1002","EXP1","map1","false","10","9.155","24.86","6.964","17.57","7.74777777777778","18.37","11.203","26.91","7"
"FIFO-3.log","3","FIFO","3","1003","EXP1","map1","false","10","13.123","34.14","8.004","22.34","9.024","34.75","15.172","36.19","25"
"HYBRID-1.log","7","HYBRID","1","1001","EXP1","map1","false","10","5.642","17.06","5.61","17.02","4.91333333333333","9.73","7.69","19.1","6"
"HYBRID-2.log","8","HYBRID","2","1002","EXP1","map1","false","10","9.155","24.86","6.964","17.57","7.74777777777778","18.37","11.203","26.91","7"
"HYBRID-3.log","9","HYBRID","3","1003","EXP1","map1","false","10","13.123","34.14","8.004","22.34","9.024","34.75","15.172","36.19","25"
"NEAREST-1.log","4","NEAREST","1","1001","EXP1","map1","false","10","5.642","17.06","5.61","17.02","4.91333333333333","9.73","7.69","19.1","6"
"NEAREST-2.log","5","NEAREST","2","1002","EXP1","map1","false","10","9.155","24.86","6.964","17.57","7.74777777777778","18.37","11.203","26.91","7"
"NEAREST-3.log","6","NEAREST","3","1003","EXP1","map1","false","10","13.123","34.14","8.004","22.34","9.024","34.75","15.172","36.19","25"
