experiment_label,policy,repeat,run,seed,max_completed,max_sim_time,stop_delay,first_period,min_period,max_period,hybrid_wait_weight,hybrid_distance_weight,log
FIFO,FIFO,1,FIFO-1,1001,10,420,5,5,8,16,1,30,FIFO-1.log
FIFO,FIFO,2,FIFO-2,1002,10,420,5,5,8,16,1,30,FIFO-2.log
FIFO,FIFO,3,FIFO-3,1003,10,420,5,5,8,16,1,30,FIFO-3.log
NEAREST,NEAREST,1,NEAREST-1,1001,10,420,5,5,8,16,1,30,NEAREST-1.log
NEAREST,NEAREST,2,NEAREST-2,1002,10,420,5,5,8,16,1,30,NEAREST-2.log
NEAREST,NEAREST,3,NEAREST-3,1003,10,420,5,5,8,16,1,30,NEAREST-3.log
HYBRID,HYBRID,1,HYBRID-1,1001,10,420,5,5,8,16,1,30,HYBRID-1.log
HYBRID,HYBRID,2,HYBRID-2,1002,10,420,5,5,8,16,1,30,HYBRID-2.log
HYBRID,HYBRID,3,HYBRID-3,1003,10,420,5,5,8,16,1,30,HYBRID-3.log
