"simulation_id","experiment","map_id","dynamic_environment","policy","last_table","total_requests","completed_requests","success_rate","mission_time","distance","avg_speed","collisions","avg_wait","avg_delivery","avg_return"
"1","EXP2","map1","False","NEAREST","T2","9","9","1.0","19.45599999999996","0.24563592000001877","0.012625201480264149","10","49.30133333333333","13.603555555555554","16.984888888888896"
"2","EXP2","map1","False","NEAREST","T2","9","9","1.0","15.807999999999964","0.24788887000000911","0.015681229124494538","7","47.072","12.82488888888889","14.197333333333333"
"3","EXP2","map1","False","NEAREST","T2","9","9","1.0","20.576000000000022","0.27318628000001494","0.013276938180405066","7","19.082666666666668","11.683555555555554","17.322666666666667"
"5","EXP2","map1","True","NEAREST","T2","1","1","1.0","22.656","0.20694955000000018","0.0091344257591808","1","15.552","15.52","5.120000000000001"
