rank_by_fair_wait,rank_by_mean_wait,policy,experiment_label,hybrid_wait_weight,hybrid_distance_weight,max_wait_weight,fair_wait_objective,wait_time_count,wait_time_total,wait_time_mean,wait_time_max,total_time_mean,total_time_max,return_time_mean,return_time_max
1,1,NEAREST,NEAREST,,,0.250,46.094,9,250.550,27.839,73.020,29.889,75.070,16.136,35.100
2,2,HYBRID,HYBRID_w1_d30,1,30,0.250,56.064,8,287.290,35.911,80.610,37.961,82.660,20.100,35.100
3,3,HYBRID,HYBRID_w1_d35,1,35,0.250,56.064,8,287.290,35.911,80.610,37.961,82.660,20.100,35.100
4,4,HYBRID,HYBRID_w1_d40,1,40,0.250,56.064,8,287.290,35.911,80.610,37.961,82.660,20.100,35.100
5,6,FIFO,FIFO,,,0.250,59.556,8,315.230,39.404,80.610,41.453,82.660,20.100,35.100
6,7,HYBRID,HYBRID_w1_d25,1,25,0.250,59.556,8,315.230,39.404,80.610,41.453,82.660,20.100,35.100
7,5,HYBRID,HYBRID_w1_d50,1,50,0.250,62.787,9,341.750,37.972,99.260,40.022,101.310,20.435,35.100
