simulation_id,event_type,table_id,value,timestamp
5,request,,5,
5,wait_time,T1,18.304000000000002,
5,delivery_time,T1,4.768000000000001,
5,completion,,5,
5,return_time,T1,4.73599999999999,
5,request,,6,
5,wait_time,T4,4.127999999999986,
5,delivery_time,T4,4.096000000000004,
5,completion,,6,
5,return_time,T4,5.72799999999998,
5,request,,7,
5,wait_time,T2,2.9439999999999884,
5,delivery_time,T2,2.9119999999999777,
5,completion,,7,
5,return_time,T2,1.1200000000000045,
5,request,,8,
5,wait_time,T1,3.26400000000001,
5,delivery_time,T1,3.2319999999999993,
5,completion,,8,
5,return_time,T1,4.831999999999994,
5,request,,9,
5,wait_time,T5,5.856000000000023,
5,delivery_time,T5,5.824000000000012,
5,completion,,9,
5,return_time,T5,6.271999999999991,
5,request,,10,
5,wait_time,T2,4.448000000000036,
5,delivery_time,T2,4.415999999999997,
5,completion,,10,
6,request,,1,
6,wait_time,T4,2.88,
6,delivery_time,T4,2.848,
6,completion,,1,
6,return_time,T4,5.792,
6,request,,2,
6,wait_time,T2,2.8800000000000026,
6,delivery_time,T2,2.847999999999999,
6,completion,,2,
6,return_time,T2,1.088000000000001,
6,request,,3,
6,wait_time,T4,7.039999999999992,
6,delivery_time,T4,7.007999999999996,
6,completion,,3,
6,return_time,T4,5.632000000000005,
6,request,,4,
6,wait_time,T4,5.440000000000012,
6,delivery_time,T4,5.408000000000001,
6,completion,,4,
6,return_time,T4,4.416000000000011,
6,request,,5,
6,wait_time,T3,18.36800000000001,
6,delivery_time,T3,18.336,
6,completion,,5,
6,return_time,T3,17.695999999999998,
6,request,,6,
6,wait_time,T5,19.104000000000013,
6,delivery_time,T5,6.688000000000017,
6,completion,,6,
6,return_time,T5,5.984000000000009,
6,request,,7,
6,wait_time,T1,4.415999999999997,
6,delivery_time,T1,4.383999999999986,
6,completion,,7,
6,return_time,T1,4.319999999999993,
6,request,,8,
6,wait_time,T3,22.367999999999995,
6,delivery_time,T3,22.335999999999984,
6,completion,,8,
6,return_time,T3,34.75200000000004,
6,request,,9,
6,wait_time,T5,34.14399999999998,
6,delivery_time,T5,5.823999999999955,
6,completion,,9,
6,return_time,T5,6.271999999999991,
6,request,,10,
6,wait_time,T1,14.592000000000041,
6,delivery_time,T1,4.352000000000032,
6,completion,,10,
6,return_time,T1,4.288000000000011,
7,request,,1,
7,wait_time,T1,5.792000000000001,
7,delivery_time,T1,5.760000000000001,
7,completion,,1,
7,return_time,T1,4.672000000000001,
7,request,,2,
7,wait_time,T2,2.5600000000000023,
7,delivery_time,T2,2.5279999999999987,
7,completion,,2,
7,return_time,T2,2.528000000000006,
7,request,,3,
7,wait_time,T1,7.616,
7,delivery_time,T1,7.583999999999989,
7,completion,,3,
7,return_time,T1,4.799999999999997,
7,request,,4,
7,wait_time,T4,4.128,
7,delivery_time,T4,4.095999999999989,
7,completion,,4,
7,return_time,T4,5.760000000000005,
7,request,,5,
7,wait_time,T4,4.3840000000000146,
7,delivery_time,T4,4.352000000000004,
7,completion,,5,
7,return_time,T4,6.0160000000000196,
7,request,,6,
7,wait_time,T5,6.079999999999984,
7,delivery_time,T5,6.047999999999973,
7,completion,,6,
7,return_time,T5,9.72799999999998,
7,request,,7,
7,wait_time,T4,4.000000000000028,
7,delivery_time,T4,3.9680000000000177,
7,completion,,7,
7,return_time,T4,5.823999999999984,
7,request,,8,
7,wait_time,T2,2.8799999999999955,
7,delivery_time,T2,2.848000000000013,
7,completion,,8,
7,return_time,T2,0.03200000000001069,
7,request,,9,
7,wait_time,T1,1.920000000000016,
7,delivery_time,T1,1.8880000000000337,
7,completion,,9,
7,return_time,T1,4.863999999999976,
7,request,,10,
7,wait_time,T6,17.055999999999983,
7,delivery_time,T6,17.024,
7,completion,,10,
8,request,,1,
8,wait_time,T5,5.696000000000001,
8,delivery_time,T5,5.664000000000001,
8,completion,,1,
8,return_time,T5,5.887999999999998,
8,request,,2,
8,wait_time,T2,4.448,
8,delivery_time,T2,4.415999999999997,
8,completion,,2,
8,return_time,T2,5.280000000000001,
8,request,,3,
8,wait_time,T3,17.60000000000001,
8,delivery_time,T3,17.568000000000005,
8,completion,,3,
8,return_time,T3,18.36800000000001,
8,request,,4,
8,wait_time,T6,24.864000000000004,
8,delivery_time,T6,16.73599999999999,
8,completion,,4,
8,return_time,T6,17.504000000000005,
8,request,,5,
8,wait_time,T1,18.304000000000002,
8,delivery_time,T1,4.768000000000001,
8,completion,,5,
8,return_time,T1,4.73599999999999,
