simulation_id,experiment,map_id,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
1,EXP1,map1,False,FIFO,T1,1,1,1.0,12.448,0.19887642724119392,0.01597657673852779,0,5.792000000000001,5.760000000000001,4.672000000000001
1,EXP1,map1,False,FIFO,T2,2,2,1.0,7.072000000000003,0.0035318955698511595,0.0004994196224337045,0,4.176000000000002,4.144,3.600000000000003
1,EXP1,map1,False,FIFO,T1,3,3,1.0,14.399999999999991,0.1629284839366566,0.011314478051156715,2,5.3226666666666675,5.290666666666663,4.000000000000001
1,EXP1,map1,False,FIFO,T4,4,4,1.0,11.872,0.25429253862815554,0.021419519763153264,3,5.024000000000001,4.991999999999995,4.440000000000002
1,EXP1,map1,False,FIFO,T4,5,5,1.0,12.384000000000015,0.16332018849904756,0.013187999717300336,4,4.8960000000000035,4.863999999999996,4.755200000000006
1,EXP1,map1,False,FIFO,T5,6,6,1.0,17.791999999999973,0.3522771432042364,0.01979974950563382,5,5.093333333333334,5.061333333333326,5.5840000000000005
1,EXP1,map1,False,FIFO,T4,7,7,1.0,11.807999999999993,0.17118384007763188,0.014497276429338752,6,4.937142857142861,4.905142857142853,5.6182857142857126
1,EXP1,map1,False,FIFO,T2,8,8,1.0,4.896000000000015,0.09612556879551572,0.019633490358561156,6,4.680000000000003,4.647999999999998,4.92
1,EXP1,map1,False,FIFO,T1,9,9,1.0,8.768000000000029,0.15232338945892696,0.017372649345224277,6,4.373333333333338,4.341333333333335,4.913777777777775
2,EXP1,map1,False,FIFO,T5,1,1,1.0,13.567999999999998,0.32846480503118036,0.024208785748170727,0,5.696000000000001,5.664000000000001,5.887999999999998
2,EXP1,map1,False,FIFO,T2,2,2,1.0,11.711999999999996,0.1812456405180618,0.015475208377566756,0,5.072000000000001,5.039999999999999,5.584
2,EXP1,map1,False,FIFO,T3,3,3,1.0,37.952000000000005,1.0514846900448447,0.027705646343930346,2,9.248000000000003,9.216000000000001,9.845333333333336
2,EXP1,map1,False,FIFO,T6,4,4,1.0,36.256,1.081581137433986,0.029831783358174813,4,13.152000000000003,11.095999999999998,11.760000000000003
2,EXP1,map1,False,FIFO,T1,5,5,1.0,11.519999999999982,0.25164041675897114,0.02184378617699406,4,14.182400000000005,9.8304,10.3552
